bus,station,v_nom_kV,jurisdiction,x,y,has_coordinates,ac_component,is_wind_node,wind_farms,wind_MW,other_generators,other_gen_MW,load_MW
2972,HUNTSTOWN 2,220.0,IE,-6.3349293,53.41195306666666,False,0,False,0,0.0,0,0.0,0.0
3061,INISCARRA,110.0,IE,-8.661073,51.9017859,True,0,False,0,0.0,0,0.0,0.0
3081,INCH_CITY,110.0,IE,-6.3391212,53.3337774,True,0,False,0,0.0,0,0.0,56.15
3082,INCHICORE,220.0,IE,-6.3391212,53.3337774,True,0,False,0,0.0,0,0.0,0.0
3091,INCH_COUNTRY,110.0,IE,-6.3391212,53.3337774,True,0,False,0,0.0,0,0.0,62.78
3101,IKERRIN,110.0,IE,-7.7713595,52.91857,True,0,True,1,35.95,0,0.0,29.04
3111,BALLYNABRANN,110.0,IE,-8.3194761,51.9541985,False,0,False,0,0.0,2,42.0,0.0
3122,IRISHTOWN,220.0,IE,-6.2019353,53.3400724,True,0,False,0,0.0,1,403.9,0.0
3181,KILLINSKYDUF,110.0,IE,-6.147732,52.8151839,False,0,False,0,0.0,1,47.11,0.0
3190,KNOCKANURE,110.0,IE,-9.3733302,52.4345623,True,0,False,0,0.0,0,0.0,0.0
3191,KNOCKANURE,110.0,IE,-9.3733302,52.4345623,True,0,False,0,0.0,0,0.0,0.0
3192,KNOCKANURE,220.0,IE,-9.3733302,52.4345623,True,0,False,0,0.0,0,0.0,0.0
3201,KNOCKRAHA,110.0,IE,-8.3194761,51.9541985,True,0,False,0,0.0,0,0.0,0.0
3202,KNOCKRAHA,220.0,IE,-8.3194761,51.9541985,True,0,False,0,0.0,0,0.0,0.0
3203,KNOCKRAHA,220.0,IE,-8.3194761,51.9541985,True,0,False,0,0.0,0,0.0,0.0
3204,KNOCKRAHA,380.0,IE,-8.3194761,51.9541985,True,0,False,0,0.0,0,0.0,0.0
3209,KNOCKRAHA,110.0,IE,-8.3194761,51.9541985,True,0,False,0,0.0,0,0.0,0.0
3221,KILBARRY,110.0,IE,-8.4769397,51.9224604,True,0,True,1,0.85,2,9.9,90.29
3231,KILCARBERY,110.0,IE,-6.4441978,53.3147089,True,0,False,0,0.0,0,0.0,35.64
3241,KILTEEL,110.0,IE,-6.5400403,53.2465815,True,0,False,0,0.0,1,15.0,38.3
3251,REAMORE,110.0,IE,-9.5436255,52.302124,True,0,True,4,83.15,0,0.0,0.0
3261,KILKENNY,110.0,IE,-7.1718695,52.6405514,True,0,False,0,0.0,5,62.0,57.67
3271,KISHOGE,110.0,IE,-6.4600205,53.3280353,True,0,False,0,0.0,0,0.0,21.78
3281,KILLONAN,110.0,IE,-8.5454912,52.6401871,True,0,False,0,0.0,0,0.0,0.0
3282,KILLONAN,220.0,IE,-8.5454912,52.6401871,True,0,False,0,0.0,0,0.0,0.0
3301,KNOCKEARAGH,110.0,IE,-9.4387403,52.0764652,True,0,True,2,13.85,1,8.99,46.42
3311,KNOCKDRIN,110.0,IE,-7.2130769,53.3598053,True,0,True,1,110.2,0,0.0,0.0
3321,KNOCKUMBER,110.0,IE,-6.7147404,53.6555904,True,0,False,0,0.0,0,0.0,23.66
3330,BALLYNAHULLA,110.0,IE,-9.2611456,52.1738656,True,0,False,0,0.0,0,0.0,0.0
3331,BALLYNAHULLA,110.0,IE,-9.2611456,52.1738656,True,0,False,0,0.0,0,0.0,0.0
3332,BALLYNAHULLA,220.0,IE,-9.2611456,52.1738656,True,0,False,0,0.0,0,0.0,0.0
3341,KELLIS,110.0,IE,-6.8163185,52.7887081,True,0,False,0,0.0,0,0.0,0.0
3342,KELLIS,220.0,IE,-6.8163185,52.7887081,True,0,False,0,0.0,0,0.0,0.0
3352,KELLYSTOWN,220.0,IE,-6.524176,53.3823502,True,0,False,0,0.0,0,0.0,116.85
3361,LAURENCETOWN,110.0,IE,-7.2138473,53.3581344,False,0,False,0,0.0,1,47.0,0.0
3381,KINNEGAD,110.0,IE,-7.1427122,53.4302536,True,0,False,0,0.0,0,0.0,10.19
3391,KNOCKACUMMER,110.0,IE,-9.1006362,52.2595355,True,0,True,1,105.0,0,0.0,0.0
3401,KILLOTERAN,110.0,IE,-7.1589941,52.2518508,True,0,False,0,0.0,0,0.0,11.97
3421,KILMORE,110.0,IE,-6.2208175,53.4013032,True,0,False,0,0.0,0,0.0,0.0
