branch,kind,bus0,bus1,x_pu,susceptance,phase_shift_rad,s_nom,is_phase_shifter,peak_snapshot,peak_flow_MW,max_loading_pct,mean_loading_pct,hours_at_rating,sign,sign_agreement_when_busy,sign_ever_flips
77511-90310-1,Line,77511,90310,0.00017120000000000001,5841.121495327102,0.0,178.0,False,2030-01-14 12:00:00,-33.88985324154683,19.039243394127432,8.650300659901633,0,-1,,True
77511-90310-2,Line,77511,90310,0.00023420000000000003,4269.854824935952,0.0,144.0,False,2030-01-14 12:00:00,-24.773453778620286,17.203787346264086,7.816378516390962,0,-1,,True
77512-87510-1,Line,77512,87510,0.0012375,808.080808080808,0.0,193.0,False,2030-01-20 10:00:00,-113.49264252787857,58.80447799371947,24.881701972788388,0,-1,1.0,True
77512-90310-3,Line,77512,90310,0.00019779999999999996,5055.611729019212,0.0,193.0,False,2030-01-14 12:00:00,-29.2846117816882,15.173373980149327,6.871872093280926,0,-1,,True
79510-83510-1,Line,79510,83510,0.00035402000000000003,2824.699169538444,0.0,103.0,False,2030-01-20 00:00:00,-46.8012196822474,45.43807736140524,18.824073369102248,0,-1,,True
80011-81010-1,Line,80011,81010,3.2200000000000003e-05,31055.90062111801,0.0,144.0,False,2030-01-17 18:00:00,-34.169999999965185,23.72916666664249,19.404564313251914,0,-1,,False
80012-81010-2,Line,80012,81010,3.2200000000000003e-05,31055.90062111801,0.0,144.0,False,2030-01-17 18:00:00,-51.36999999996438,35.67361111108637,29.172153022307622,0,-1,,False
80511-81510-1,Line,80511,81510,0.0006833,1463.4860237084736,0.0,90.0,False,2030-01-17 18:00:00,-20.91999999999235,23.244444444435945,19.008181934264424,0,-1,,False
80512-81510-2,Line,80512,81510,0.0006834,1463.2718759145448,0.0,90.0,False,2030-01-16 10:00:00,2.471073345944319e-11,2.7456370510492437e-11,1.287250091496391e-11,0,1,,True
80710-80711-1,Line,80710,80711,1.14e-06,877192.9824561402,0.0,144.0,False,2030-01-18 09:00:00,-2.0014480350827313e-10,1.3898944688074524e-10,4.365750011317122e-11,0,-1,,True
80710-87510-1,Line,80710,87510,0.0006681399999999999,1496.6923099949115,0.0,200.0,False,2030-01-19 17:00:00,-54.477223354538566,27.23861167726928,5.696003463986613,0,-1,,True
80710-90310-1,Line,80710,90310,0.0016123599999999997,620.2088863529237,0.0,200.0,False,2030-01-20 10:00:00,86.1810832215335,43.09054161076675,15.886961393164967,0,1,,True
81010-81011-1,Line,81010,81011,1.0000000000000002e-06,999999.9999999999,0.0,295.0,False,2030-01-17 18:00:00,-99.06538164975353,33.581485305001195,25.78102901298123,0,-1,,False
81010-81031-1,Line,81010,81031,2.3e-05,43478.260869565216,0.0,140.0,False,2030-01-16 10:00:00,-7.924993994379292e-11,5.660709995985208e-11,2.6675008185751574e-11,0,-1,,True
81010-84011-1,Line,81010,84011,0.00026470000000000004,3777.8617302606717,0.0,103.0,False,2030-01-17 21:00:00,47.56222169170549,46.17691426379174,28.725002501952584,0,1,,False
81010-84012-2,Line,81010,84012,0.000263,3802.2813688212927,0.0,100.0,False,2030-01-19 01:00:00,-31.077752489325338,31.077752489325338,20.35069735977065,0,-1,,False
81020-86220-1,Line,81020,86220,0.000188,5319.148936170213,0.0,881.0,False,2030-01-16 17:00:00,-233.7791744468335,26.535661117688253,15.901645626971344,0,-1,,False
81510-81511-1,Line,81510,81511,1.3100000000000002e-05,76335.87786259541,0.0,144.0,False,2030-01-18 19:00:00,1.0913164816273024e-10,7.578586677967378e-11,4.743771521013882e-11,0,1,,False
81510-87900-1,Line,81510,87900,0.0013303000000000002,751.7101405697962,0.0,193.0,False,2030-01-20 16:00:00,-87.6107832275221,45.394188200788655,10.552181701738936,0,-1,,True
81510-87901-1,Line,81510,87901,0.00041247,2424.418745605741,0.0,195.0,False,2030-01-20 16:00:00,-60.26397648966705,30.904603328034387,9.6351156744113,0,-1,,True
81511-81512-1,Line,81511,81512,0.000312,3205.128205128205,0.0,156.0,False,2030-01-16 10:00:00,-2.304638424543981e-11,1.4773323234256286e-11,5.505475178028261e-12,0,-1,,True
81520-82020-1,Line,81520,82020,0.00012140000000000001,8237.232289950576,0.0,881.0,False,2030-01-19 01:00:00,-87.03742319980205,9.87938969350761,4.100786866636793,0,-1,,True
81520-82020-2,Line,81520,82020,0.00012140000000000001,8237.232289950576,0.0,881.0,False,2030-01-19 01:00:00,-87.03742319980205,9.87938969350761,4.100786866636793,0,-1,,True
81520-85020-1,Line,81520,85020,0.0001302,7680.491551459294,0.0,881.0,False,2030-01-19 01:00:00,-122.234398501519,13.87450607281714,4.645878687639588,0,-1,,True
81810-89210-1,Line,81810,89210,0.00018219999999999998,5488.474204171241,0.0,124.0,False,2030-01-16 17:00:00,-57.595387901335094,46.44789346881863,18.000367302039695,0,-1,,False
81810-89510-1,Line,81810,89510,0.00036740000000000004,2721.829069134458,0.0,166.0,False,2030-01-16 02:00:00,56.11881484650981,33.80651496777699,9.760546612792782,0,1,,True
82020-90020-1,Line,82020,90020,0.0003389,2950.7229271171436,0.0,881.0,False,2030-01-16 17:00:00,149.33717994924643,16.95087173090198,6.240246418995649,0,1,,True
84011-90011-1,Line,84011,90011,0.0010591999999999997,944.1087613293054,0.0,103.0,False,2030-01-18 17:00:00,-42.480871334715054,41.243564402635975,30.779151609844245,0,-1,,False
84012-90011-2,Line,84012,90011,0.0010022,997.8048293753742,0.0,100.0,False,2030-01-19 01:00:00,-31.077752489321057,31.07775248932106,20.350697359755415,0,-1,,False
85020-90320-1,Line,85020,90320,0.0001098,9107.468123861567,0.0,881.0,False,2030-01-16 17:00:00,252.02591344225104,28.606800617735644,9.567008964698738,0,1,,True
