outage,hour,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,blind_cleared,blind_mw,blind_nodes,blind_new_overloads,blind_new_MW,blind_worsened,blind_resid_MW,blind_worst_new_pct,blind_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,solo_cleared,solo_mw,solo_nodes,solo_new_overloads,solo_new_MW,solo_worsened,solo_resid_MW,solo_worst_new_pct,solo_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1031-4221-1,159,Line,1,3581-89516-1,Line,1.348,101.1,5313.0,1,4.072,25,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,167,Line,1,3581-89516-1,Line,1.022,100.83,3161.9,1,2.765,26,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,101,Line,2,T3464-3462-34641-1-w2,Transformer,1.374,100.14,5965.5,1,1.327,59,0,0.0,0,0.0,0.0,100.1,1,0.906,1,0,0.0,0,0.0,0.0,100.1,1,0.906,1,0,0.0,0,0.0,0.0,100.1,1,0.906,1,0,0.0,0,0.0,0.0,100.1,1,0.906,1,0,0.0,0,0.0,0.0,100.1,1,0.906,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,108,Line,2,T3464-3462-34641-1-w2,Transformer,2.756,100.28,7006.9,1,6.211,61,0,0.0,0,0.0,0.0,100.1,1,4.251,1,0,0.0,0,0.0,0.0,100.1,1,4.251,1,0,0.0,0,0.0,0.0,100.1,1,4.251,1,0,0.0,0,0.0,0.0,100.1,1,4.251,1,0,0.0,0,0.0,0.0,100.1,1,4.251,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,116,Line,1,3581-89516-1,Line,0.205,100.17,4604.0,1,0.233,7,0,0.0,0,0.0,0.0,100.1,1,0.199,1,0,0.0,0,0.0,0.0,100.1,1,0.199,1,0,0.0,0,0.0,0.0,100.1,1,0.199,1,0,0.0,0,0.0,0.0,100.1,1,0.199,1,0,0.0,0,0.0,0.0,100.1,1,0.199,1,0,0.0,0,0.0,0.0,100.1,1
1071-2361-1,159,Line,2,T3464-3462-34641-1-w2,Transformer,5.407,100.54,5313.0,1,15.226,61,0,0.0,0,0.0,0.0,100.1,1,10.67,1,0,0.0,0,0.0,0.0,100.1,1,10.67,1,0,0.0,0,0.0,0.0,100.1,1,10.67,1,0,0.0,0,0.0,0.0,100.1,1,10.67,1,0,0.0,0,0.0,0.0,100.1,1,10.67,1,0,0.0,0,0.0,0.0,100.1,1
1071-4941-1,50,Line,2,3082-3122-1,Line,1.669,100.16,5312.4,1,2.227,42,0,0.0,0,0.0,0.0,100.1,1,1.134,2,0,0.0,0,0.0,0.0,100.1,1,0.989,1,0,0.0,0,0.0,0.0,100.1,1,0.989,1,0,0.0,0,0.0,0.0,100.1,1,0.989,1,0,0.0,0,0.0,0.0,100.1,1,0.831,2,0,0.0,0,0.0,0.0,100.1,1
1071-4941-1,101,Line,2,T3464-3462-34641-1-w2,Transformer,9.505,100.95,5965.5,1,30.197,60,0,0.0,0,0.0,0.0,100.1,1,20.594,1,0,0.0,0,0.0,0.0,100.1,1,20.594,1,0,0.0,0,0.0,0.0,100.1,1,20.594,1,0,0.0,0,0.0,0.0,100.1,1,20.594,1,0,0.0,0,0.0,0.0,100.1,1,20.594,1,0,0.0,0,0.0,0.0,100.1,1
1071-4941-1,108,Line,3,T3464-3462-34641-1-w2,Transformer,10.451,100.99,7006.9,1,31.586,62,0,0.0,0,0.0,0.0,100.1,1,21.886,2,0,0.0,0,0.0,0.0,100.1,1,56.603,2,0,0.0,0,0.0,0.0,100.1,1,21.886,2,0,0.0,0,0.0,0.0,100.1,1,56.603,2,0,0.0,0,0.0,0.0,100.1,1,21.857,2,0,0.0,0,0.0,0.0,100.1,1
1071-4941-1,159,Line,2,T3464-3462-34641-1-w2,Transformer,10.526,101.05,5313.0,1,32.946,62,0,0.0,0,0.0,0.0,100.1,1,23.066,1,0,0.0,0,0.0,0.0,100.1,1,23.066,1,0,0.0,0,0.0,0.0,100.1,1,23.066,1,0,0.0,0,0.0,0.0,100.1,1,23.066,1,0,0.0,0,0.0,0.0,100.1,1,23.066,1,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,36,Line,1,1122-1742-1,Line,8.655,101.69,6805.4,1,32.968,42,0,0.0,0,0.0,0.0,100.1,1,12.93,1,0,0.0,0,0.0,0.0,100.1,1,12.93,1,0,0.0,0,0.0,0.0,100.1,1,12.93,1,0,0.0,0,0.0,0.0,100.1,1,12.93,1,0,0.0,0,0.0,0.0,100.1,1,12.93,1,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,50,Line,2,1122-1742-1,Line,84.85,116.51,5312.4,1,347.915,44,0,0.0,0,0.0,0.0,100.1,1,134.154,2,0,0.0,0,0.0,0.0,100.1,1,134.154,2,0,0.0,0,0.0,0.0,100.1,0,328.821,1,0,0.0,0,0.135,0.0,100.11,0,328.821,1,0,0.0,0,0.135,0.0,100.11,1,134.152,2,0,0.0,0,0.0,0.0,100.1,1
