branch,bus,ptdf,sensitivity,wind_MW,wind_farms
1021-2341-1,74011,0.0013315579228645458,-0.0013315579228645458,13.8,1
1021-2341-1,75010,0.0013315579228741492,-0.0013315579228741492,103.0,4
1021-2341-1,77210,0.0013315579228702634,-0.0013315579228702634,67.9,3
1021-2341-1,77212,0.001331557922870319,-0.001331557922870319,51.6,1
1021-2341-1,77511,0.0013315579228539987,-0.0013315579228539987,17.5,1
1021-2341-1,79010,0.001331557922868487,-0.001331557922868487,16.9,1
1021-2341-1,80710,0.0013315579228631025,-0.0013315579228631025,67.5,5
1021-2341-1,81810,0.001331557922872706,-0.001331557922872706,73.7,3
1021-2341-1,83011,0.0013315579228642682,-0.0013315579228642682,15.0,2
1021-2341-1,83510,0.0013315579228736496,-0.0013315579228736496,37.7,2
1021-2341-1,84412,0.0013315579228717622,-0.0013315579228717622,15.0,1
1021-2341-1,85510,0.0013315579228684316,-0.0013315579228684316,70.6,3
1021-2341-1,87510,0.0013315579228664332,-0.0013315579228664332,95.7,7
1021-2341-1,87900,0.0013315579228693752,-0.0013315579228693752,76.3,4
1021-2341-1,89210,0.0013315579228730945,-0.0013315579228730945,27.6,1
1021-2341-1,89510,0.0013315579228725394,-0.0013315579228725394,28.1,4
1021-2341-1,90210,0.0013315579228610486,-0.0013315579228610486,90.0,7
1021-2361-1,1021,0.14170621418241777,-0.14170621418241777,8.16,2
1021-2361-1,1061,-0.01840446866722103,0.01840446866722103,15.6,4
1021-2361-1,1121,0.003609779473986996,-0.003609779473986996,118.39000000000001,4
1021-2361-1,1131,0.004456200145214431,-0.004456200145214431,34.35,1
1021-2361-1,1141,-0.0259610992715451,0.0259610992715451,0.9,1
1021-2361-1,1231,0.007706648974109236,-0.007706648974109236,42.0,2
1021-2361-1,1251,-0.14589691338088323,0.14589691338088323,154.219,11
1021-2361-1,1281,0.02623515061102555,-0.02623515061102555,65.71000000000001,6
1021-2361-1,1311,0.013724992669407049,-0.013724992669407049,147.6,4
1021-2361-1,1341,-0.013553054648755704,0.013553054648755704,89.3,17
1021-2361-1,1381,0.02950258633161379,-0.02950258633161379,2.0,1
1021-2361-1,1401,-0.029584145838434397,0.029584145838434397,46.88999999999999,6
1021-2361-1,1431,0.00027428928125350534,-0.00027428928125350534,45.0,1
1021-2361-1,1441,0.027739351467064004,-0.027739351467064004,13.6,3
1021-2361-1,1461,0.03110828899640563,-0.03110828899640563,32.4,1
1021-2361-1,1481,0.01582555978091087,-0.01582555978091087,1.7,1
1021-2361-1,1511,0.004456200145213349,-0.004456200145213349,100.549,5
1021-2361-1,1521,-0.006152942265159975,0.006152942265159975,56.4,1
1021-2361-1,1551,0.024935208736532807,-0.024935208736532807,169.05,7
1021-2361-1,1571,-0.013027702671457454,0.013027702671457454,22.94,3
1021-2361-1,1631,-0.0181449635563154,0.0181449635563154,79.60300000000001,12
1021-2361-1,1651,0.025221894678302,-0.025221894678302,51.599999999999994,2
1021-2361-1,1661,-0.0369092786358796,0.0369092786358796,50.44,7
1021-2361-1,1671,-0.005834100567393247,0.005834100567393247,75.0,1
1021-2361-1,1751,0.017307409411875765,-0.017307409411875765,54.0,2
1021-2361-1,1821,-0.0404861419315694,0.0404861419315694,9.24,2
1021-2361-1,1831,-0.047834029204327416,0.047834029204327416,7.99,2
1021-2361-1,1841,0.007706648974083085,-0.007706648974083085,7.49,2
1021-2361-1,1881,0.06720747422740717,-0.06720747422740717,70.699,7
1021-2361-1,1901,0.0017784982083014688,-0.0017784982083014688,55.74,7
1021-2361-1,1931,-0.02039292730356887,0.02039292730356887,34.8,2
1021-2361-1,1971,0.017307409411875318,-0.017307409411875318,81.0,3
1021-2361-1,1991,0.007588920649161673,-0.007588920649161673,41.400000000000006,4
1021-2361-1,2101,-0.007482693605892779,0.007482693605892779,16.6,2
1021-2361-1,2111,-0.047834029204282244,0.047834029204282244,174.0,2
1021-2361-1,2131,0.004456200145214799,-0.004456200145214799,28.5,1
1021-2361-1,2141,0.022365075431372512,-0.022365075431372512,8.98,2
1021-2361-1,2151,0.02523955583344395,-0.02523955583344395,25.2,1
1021-2361-1,2171,-0.047834029204333564,0.047834029204333564,33.6,1
1021-2361-1,2181,-0.006300986807180449,0.006300986807180449,5.949999999999999,4
1021-2361-1,2221,0.026235150611051108,-0.026235150611051108,27.17,4
1021-2361-1,2225,0.02623590071904781,-0.02623590071904781,22.95,2
1021-2361-1,2231,-0.13600239946091253,0.13600239946091253,59.5,1
1021-2361-1,2241,-0.024035731830796464,0.024035731830796464,26.03,5
1021-2361-1,2281,-0.04033441767400822,0.04033441767400822,40.8,1
1021-2361-1,2331,-0.04783402920433267,0.04783402920433267,47.3,1
1021-2361-1,2391,0.025539406111090047,-0.025539406111090047,36.0,1
1021-2361-1,2401,-0.0061529422651616615,0.0061529422651616615,79.2,1
1021-2361-1,2601,-0.023113297477423755,0.023113297477423755,75.6,2
1021-2361-1,2651,-0.0016311705660424125,0.0016311705660424125,49.5,1
1021-2361-1,2671,-0.01814496355631562,0.01814496355631562,82.0,3
1021-2361-1,2701,-0.003929435663876955,0.003929435663876955,0.5,1
1021-2361-1,2731,0.017307409411875446,-0.017307409411875446,29.8,2
1021-2361-1,2742,0.011632340048396552,-0.011632340048396552,450.0,1
1021-2361-1,2771,0.017307409411876962,-0.017307409411876962,74.215,4
1021-2361-1,2821,-0.011613714180486526,0.011613714180486526,8.0,2
1021-2361-1,2881,0.06720747422737516,-0.06720747422737516,26.0,1
1021-2361-1,3101,0.0009138217598178774,-0.0009138217598178774,35.95,1
