branch,bus,ptdf,sensitivity,wind_MW,wind_farms
1021-2341-1,2391,0.0013315579226713115,-0.0013315579226713115,36.0,1
1021-2341-1,2401,0.0013315579227703295,-0.0013315579227703295,79.2,1
1021-2341-1,2601,0.001331557922803761,-0.001331557922803761,75.6,2
1021-2341-1,2651,0.0013315579227607816,-0.0013315579227607816,49.5,1
1021-2341-1,2671,0.001331557922824772,-0.001331557922824772,82.0,3
1021-2341-1,2701,0.0013315579227956842,-0.0013315579227956842,0.5,1
1021-2341-1,2731,0.0013315579227131114,-0.0013315579227131114,29.8,2
1021-2341-1,2742,0.001331557922751976,-0.001331557922751976,450.0,1
1021-2341-1,2771,0.0013315579227118346,-0.0013315579227118346,74.215,4
1021-2341-1,2821,0.001331557922855664,-0.001331557922855664,8.0,2
1021-2341-1,2881,0.0013315579225595675,-0.0013315579225595675,26.0,1
1021-2341-1,3101,0.00133155792268852,-0.00133155792268852,35.95,1
1021-2341-1,3221,0.0013315579227016205,-0.0013315579227016205,0.85,1
1021-2341-1,3251,0.0013315579226255703,-0.0013315579226255703,83.15,4
1021-2341-1,3301,0.001331557922657045,-0.001331557922657045,13.85,2
1021-2341-1,3311,0.0013315579227728136,-0.0013315579227728136,110.2,1
1021-2341-1,3391,0.001331557922702592,-0.001331557922702592,105.0,1
1021-2341-1,3461,0.0013315579226076402,-0.0013315579226076402,18.0,1
1021-2341-1,3481,0.001331557922607307,-0.001331557922607307,37.0,1
1021-2341-1,3491,0.0013315579228383723,-0.0013315579228383723,48.9,1
1021-2341-1,3501,0.0013315579227661106,-0.0013315579227661106,9.55,2
1021-2341-1,3511,0.001331557922771287,-0.001331557922771287,97.5,2
1021-2341-1,3561,0.0013315579228401764,-0.0013315579228401764,33.1,1
1021-2341-1,3571,0.001331557922715998,-0.001331557922715998,34.0,1
1021-2341-1,3581,0.001331557922880644,-0.001331557922880644,60.27,7
1021-2341-1,3591,0.0013315579228846963,-0.0013315579228846963,30.5,1
1021-2341-1,3621,0.001331557922684412,-0.001331557922684412,68.4,2
1021-2341-1,3801,0.001331557922708504,-0.001331557922708504,1.7,1
1021-2341-1,3821,0.0013315579228239949,-0.0013315579228239949,68.698,7
1021-2341-1,3881,0.001331557922691462,-0.001331557922691462,24.0,1
1021-2341-1,3891,0.001331557922674531,-0.001331557922674531,67.89999999999999,2
1021-2341-1,3941,0.0013315579226451102,-0.0013315579226451102,17.25,1
1021-2341-1,4041,0.0013315579227967944,-0.0013315579227967944,6.0,1
1021-2341-1,4071,0.0013315579228799224,-0.0013315579228799224,84.96,3
1021-2341-1,4091,0.0013315579228707075,-0.0013315579228707075,95.25,4
1021-2341-1,4121,0.0013315579227730912,-0.0013315579227730912,60.0,1
1021-2341-1,4261,0.001331557922447768,-0.001331557922447768,14.69,6
1021-2341-1,4361,0.0013315579226370056,-0.0013315579226370056,9.0,1
1021-2341-1,4371,0.0013315579228053709,-0.0013315579228053709,77.3,4
1021-2341-1,4391,0.0013315579227612812,-0.0013315579227612812,50.0,1
1021-2341-1,4481,0.0013315579227546233,-0.0013315579227546233,54.20099999999999,2
1021-2341-1,4671,0.0013315579227664229,-0.0013315579227664229,90.0,1
1021-2341-1,4681,0.0013315579225152696,-0.0013315579225152696,32.49,3
1021-2341-1,4701,0.001331557922766305,-0.001331557922766305,4.99,1
1021-2341-1,4781,0.001331557922833848,-0.001331557922833848,78.62,3
1021-2341-1,4951,0.0013315579227272112,-0.0013315579227272112,46.1,4
1021-2341-1,4961,0.0013315579228358465,-0.0013315579228358465,28.017,3
1021-2341-1,4981,0.0013315579228242724,-0.0013315579228242724,17.73,3
1021-2341-1,4991,0.0013315579228849184,-0.0013315579228849184,63.25,10
1021-2341-1,5001,0.001331557922704396,-0.001331557922704396,7.65,1
1021-2341-1,5081,0.0013315579227126673,-0.0013315579227126673,105.0,1
1021-2341-1,5191,0.0013315579228934116,-0.0013315579228934116,29.9,1
1021-2341-1,5221,0.0013315579226259588,-0.0013315579226259588,31.0,3
1021-2341-1,5241,0.001331557922797405,-0.001331557922797405,19.2,1
1021-2341-1,5261,0.0013315579226176877,-0.0013315579226176877,26.5,7
1021-2341-1,5271,0.00133155792256201,-0.00133155792256201,59.08,3
1021-2341-1,5274,0.001331557922561899,-0.001331557922561899,115.08,3
1021-2341-1,5281,0.0013315579226256258,-0.0013315579226256258,47.56,6
1021-2341-1,5301,0.0013315579226828578,-0.0013315579226828578,41.8,5
1021-2341-1,5341,0.001331557922801041,-0.001331557922801041,12.040000000000001,3
1021-2341-1,5361,0.0013315579228847518,-0.0013315579228847518,44.69,6
1021-2341-1,5381,0.0013315579226025331,-0.0013315579226025331,4.6,2
1021-2341-1,5441,0.0013315579227588942,-0.0013315579227588942,18.53,3
1021-2341-1,5501,0.001331557922756169,-0.001331557922756169,38.9,3
1021-2341-1,6201,0.0013315579227123064,-0.0013315579227123064,156.84,2
1021-2341-1,6931,0.001331557922730181,-0.001331557922730181,20.0,1
1021-2341-1,11261,0.0013315579227421437,-0.0013315579227421437,800.0,1
1021-2341-1,11310,0.0013315579226859386,-0.0013315579226859386,23.15,1
1021-2341-1,14010,0.001331557922772661,-0.001331557922772661,33.9,1
1021-2341-1,14013,0.0013315579227726193,-0.0013315579227726193,172.0,2
1021-2341-1,14016,0.0013315579227727026,-0.0013315579227727026,50.0,1
1021-2341-1,14720,0.001331557922784471,-0.001331557922784471,500.0,1
1021-2341-1,17010,0.0013315579228675434,-0.0013315579228675434,55.0,2
1021-2341-1,17420,0.0013315579227688168,-0.0013315579227688168,824.0,1
1021-2341-1,20900,0.0013315579227420327,-0.0013315579227420327,109.2,2
1021-2341-1,22811,0.0013315579226853905,-0.0013315579226853905,2.55,1
1021-2341-1,23610,0.001331557922512605,-0.001331557922512605,72.39,2
1021-2341-1,28810,0.0013315579227023144,-0.0013315579227023144,40.8,3
1021-2341-1,32060,0.0013315579227045071,-0.0013315579227045071,450.0,1
1021-2341-1,36210,0.001331557922684412,-0.001331557922684412,59.0,2
1021-2341-1,36411,0.00133155792275063,-0.00133155792275063,60.162,9
