outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1061-10619-1,0,True,Line,1,3581-89516-1,Line,0.375,100.31,5299.5,1,0.639,13,0,0.0,0,0.0,0.0,100.1,1,0.499,1,0,0.0,0,0.0,0.0,100.1,1,0.499,1,0,0.0,0,0.0,0.0,100.1,1,0.499,1,0,0.0,0,0.0,0.0,100.1,1
1061-10619-1,21,True,Line,1,3581-89516-1,Line,0.342,100.28,4735.3,1,0.615,7,0,0.0,0,0.0,0.0,100.1,1,0.543,1,0,0.0,0,0.0,0.0,100.1,1,0.543,1,0,0.0,0,0.0,0.0,100.1,1,0.543,1,0,0.0,0,0.0,0.0,100.1,1
1061-10619-1,79,True,Line,1,3581-89516-1,Line,0.181,100.15,2728.8,1,0.247,25,0,0.0,0,0.0,0.0,100.1,1,0.114,1,0,0.0,0,0.0,0.0,100.1,1,0.114,1,0,0.0,0,0.0,0.0,100.1,1,0.114,1,0,0.0,0,0.0,0.0,100.1,1
1061-10619-1,108,True,Line,1,3581-89516-1,Line,0.177,100.14,7006.9,1,0.25,19,0,0.0,0,0.0,0.0,100.1,1,0.106,1,0,0.0,0,0.0,0.0,100.1,1,0.106,1,0,0.0,0,0.0,0.0,100.1,1,0.106,1,0,0.0,0,0.0,0.0,100.1,1
1061-10619-1,116,True,Line,1,3581-89516-1,Line,0.33,100.27,4604.0,1,0.601,7,0,0.0,0,0.0,0.0,100.1,1,0.512,1,0,0.0,0,0.0,0.0,100.1,1,0.512,1,0,0.0,0,0.0,0.0,100.1,1,0.512,1,0,0.0,0,0.0,0.0,100.1,1
1061-10619-1,167,True,Line,1,3581-89516-1,Line,0.271,100.22,3161.9,1,0.467,25,0,0.0,0,0.0,0.0,100.1,1,0.292,1,0,0.0,0,0.0,0.0,100.1,1,0.292,1,0,0.0,0,0.0,0.0,100.1,1,0.292,1,0,0.0,0,0.0,0.0,100.1,1
1071-2231-1,0,True,Line,1,2781-4951-1,Line,0.306,100.29,5299.5,1,0.247,4,0,0.0,0,0.0,0.0,100.1,1,0.247,1,0,0.0,0,0.0,0.0,100.1,1,0.247,1,0,0.0,0,0.0,0.0,100.1,1,0.247,1,0,0.0,0,0.0,0.0,100.1,1
1071-2231-1,29,True,Line,1,2781-4951-1,Line,0.251,100.24,5968.4,1,0.179,5,0,0.0,0,0.0,0.0,100.1,1,0.179,1,0,0.0,0,0.0,0.0,100.1,1,0.179,1,0,0.0,0,0.0,0.0,100.1,1,0.179,1,0,0.0,0,0.0,0.0,100.1,1
1071-2231-1,137,True,Line,1,2781-4951-1,Line,0.315,100.3,5053.5,1,0.258,4,0,0.0,0,0.0,0.0,100.1,1,0.258,1,0,0.0,0,0.0,0.0,100.1,1,0.258,1,0,0.0,0,0.0,0.0,100.1,1,0.258,1,0,0.0,0,0.0,0.0,100.1,1
1081-32810-1,108,True,Line,2,T3464-3462-34641-1-w2,Transformer,1.24,100.12,7006.9,1,0.943,55,0,0.0,0,0.0,0.0,100.1,1,0.66,1,0,0.0,0,0.0,0.0,100.1,1,0.66,1,0,0.0,0,0.0,0.0,100.1,1,0.66,1,0,0.0,0,0.0,0.0,100.1,1
