outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1031-4221-1,50,False,Line,1,3581-89516-1,Line,0.267,100.22,5312.4,1,0.715,26,0,0.0,0,0.0,0.0,100.1,1,0.283,1,0,0.0,0,0.0,0.0,100.1,1,0.283,1,0,0.0,0,0.0,0.0,100.1,1,0.283,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,58,False,Line,1,3581-89516-1,Line,1.906,101.55,4583.8,1,8.656,26,0,0.0,0,0.0,0.0,100.1,1,3.517,1,0,0.0,0,0.0,0.0,100.1,1,3.517,1,0,0.0,0,0.0,0.0,100.1,1,3.517,2,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,65,False,Line,1,3581-89516-1,Line,1.226,101.0,5388.6,1,7.376,22,0,0.0,0,0.0,0.0,100.1,1,2.317,1,0,0.0,0,0.0,0.0,100.1,1,2.317,1,0,0.0,0,0.0,0.0,100.1,1,2.317,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,72,False,Line,1,3581-89516-1,Line,1.18,100.96,5745.9,1,6.421,19,0,0.0,0,0.0,0.0,100.1,1,2.602,1,0,0.0,0,0.0,0.0,100.1,1,2.602,1,0,0.0,0,0.0,0.0,100.1,1,2.602,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,79,False,Line,1,3581-89516-1,Line,0.707,100.57,2728.8,1,2.5,26,0,0.0,0,0.0,0.0,100.1,1,1.151,1,0,0.0,0,0.0,0.0,100.1,1,1.151,1,0,0.0,0,0.0,0.0,100.1,1,1.151,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,94,False,Line,1,3581-89516-1,Line,0.576,100.47,5470.0,1,1.868,26,0,0.0,0,0.0,0.0,100.1,1,0.893,1,0,0.0,0,0.0,0.0,100.1,1,0.893,1,0,0.0,0,0.0,0.0,100.1,1,0.893,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,108,False,Line,1,3581-89516-1,Line,0.536,100.44,7006.9,1,1.919,20,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1,0.814,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,123,False,Line,1,3581-89516-1,Line,0.966,100.79,5593.8,1,2.229,13,0,0.0,0,0.0,0.0,100.1,1,1.663,1,0,0.0,0,0.0,0.0,100.1,1,1.663,1,0,0.0,0,0.0,0.0,100.1,1,1.663,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,130,False,Line,1,3581-89516-1,Line,1.441,101.17,5592.5,1,3.456,13,0,0.0,0,0.0,0.0,100.1,1,2.599,1,0,0.0,0,0.0,0.0,100.1,1,2.599,1,0,0.0,0,0.0,0.0,100.1,1,2.599,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,137,False,Line,1,3581-89516-1,Line,0.335,100.27,5053.5,1,0.738,11,0,0.0,0,0.0,0.0,100.1,1,0.523,1,0,0.0,0,0.0,0.0,100.1,1,0.523,1,0,0.0,0,0.0,0.0,100.1,1,0.523,1,0,0.0,0,0.0,0.0,100.1,1
